,x,y,z,dyn_prop,id,rcs,vx,vy,vx_comp,vy_comp,is_quality_valid,ambig_state,x_rms,y_rms,invalid_state,pdh0,vx_rms,vy_rms
0,2.5999999046325684,-4.900000095367432,0.0,1.0,1.0,20.5,-8.5,0.25,-0.07042764127254486,0.13272900879383087,1.0,3.0,19.0,19.0,0.0,1.0,19.0,3.0
1,3.200000047683716,-4.900000095367432,0.0,1.0,2.0,9.0,-8.5,0.25,-0.0801798403263092,0.12277539074420929,1.0,3.0,20.0,20.0,0.0,1.0,19.0,3.0
2,3.5999999046325684,-4.900000095367432,0.0,1.0,3.0,16.5,-8.5,0.25,-0.08516799658536911,0.11592311412096024,1.0,3.0,19.0,19.0,0.0,1.0,18.0,3.0
3,4.400000095367432,-4.900000095367432,0.0,1.0,5.0,12.0,-8.5,0.25,-0.09207227826118469,0.10253503918647766,1.0,3.0,19.0,19.0,0.0,1.0,18.0,3.0
4,5.599999904632568,-9.899999618530273,0.0,1.0,9.0,3.0,-8.0,0.25,0.04769087955355644,-0.08431067317724228,1.0,3.0,19.0,19.0,0.0,1.0,19.0,3.0
5,10.399999618530273,-8.699999809265137,0.0,1.0,11.0,7.5,-8.25,0.5,-0.07313183695077896,0.06117759644985199,1.0,3.0,19.0,19.0,0.0,1.0,17.0,3.0
6,9.800000190734863,11.300000190734863,0.0,1.0,13.0,-2.0,-8.75,0.25,-0.051589298993349075,-0.05948562175035477,1.0,3.0,20.0,20.0,0.0,1.0,18.0,3.0
7,12.199999809265137,-9.100000381469727,0.0,1.0,14.0,6.0,-8.5,0.5,-0.21730798482894897,0.16209039092063904,1.0,3.0,19.0,19.0,0.0,1.0,17.0,3.0
8,11.800000190734863,11.300000190734863,0.0,1.0,15.0,2.5,-9.0,0.5,-0.08333085477352142,-0.07979988306760788,1.0,3.0,19.0,19.0,0.0,1.0,17.0,3.0
9,13.600000381469727,11.5,0.0,1.0,18.0,0.5,-9.0,0.5,-0.11916517466306686,-0.10076466202735901,1.0,3.0,19.0,19.0,0.0,1.0,17.0,3.0
10,15.0,-10.100000381469727,0.0,1.0,19.0,16.5,-8.25,0.5,-0.04080842435359955,0.027477672323584557,1.0,3.0,19.0,19.0,0.0,1.0,17.0,3.0
11,15.399999618530273,9.5,0.0,2.0,20.0,2.0,-9.75,0.0,-0.9806991815567017,-0.6049767732620239,1.0,3.0,20.0,19.0,0.0,1.0,17.0,3.0
12,17.600000381469727,-7.699999809265137,0.0,1.0,21.0,13.5,-8.5,0.5,-0.18078219890594482,0.07909220457077026,1.0,3.0,19.0,19.0,0.0,1.0,16.0,3.0
13,18.399999618530273,8.699999809265137,0.0,1.0,23.0,9.0,-8.75,0.5,-0.08404146879911423,-0.039737001061439514,1.0,3.0,19.0,19.0,0.0,1.0,16.0,3.0
14,17.200000762939453,14.899999618530273,0.0,1.0,25.0,5.5,-9.0,0.5,-0.11204615235328674,-0.09706322848796844,1.0,3.0,19.0,19.0,0.0,1.0,17.0,3.0
15,22.399999618530273,-6.300000190734863,0.0,1.0,26.0,9.5,-8.5,0.75,-0.20708711445331573,0.058243248611688614,1.0,3.0,19.0,19.0,0.0,1.0,16.0,3.0
16,21.399999618530273,-11.300000190734863,0.0,1.0,27.0,31.5,-8.25,0.75,-0.10435572266578674,0.05510372668504715,1.0,3.0,19.0,19.0,0.0,1.0,16.0,3.0
17,20.799999237060547,14.699999809265137,0.0,1.0,28.0,6.5,-9.0,0.75,-0.05534721538424492,-0.039115581661462784,1.0,3.0,19.0,19.0,0.0,1.0,17.0,3.0
18,25.600000381469727,6.5,0.0,1.0,31.0,17.5,-8.75,0.75,-0.1188780888915062,-0.030183890834450722,1.0,3.0,19.0,19.0,0.0,1.0,16.0,3.0
19,22.399999618530273,14.300000190734863,0.0,1.0,32.0,14.5,-9.0,0.75,-0.09043487906455994,-0.05773298069834709,1.0,3.0,19.0,19.0,0.0,1.0,17.0,3.0
20,26.200000762939453,-8.100000381469727,0.0,1.0,33.0,21.0,-8.5,0.75,-0.22048741579055786,0.06816595792770386,1.0,3.0,19.0,19.0,0.0,1.0,16.0,3.0
21,24.200000762939453,14.899999618530273,0.0,1.0,35.0,-1.5,-9.0,0.75,-0.10296754539012909,-0.0633973702788353,1.0,3.0,20.0,20.0,0.0,1.0,17.0,3.0
22,26.0,11.5,0.0,1.0,36.0,0.5,-9.0,0.75,-0.21278057992458344,-0.09411448985338211,1.0,3.0,20.0,20.0,0.0,1.0,16.0,3.0
23,28.600000381469727,6.099999904632568,0.0,1.0,39.0,2.0,-9.25,0.75,-0.6244673728942871,-0.1331906020641327,1.0,3.0,19.0,19.0,0.0,1.0,16.0,3.0
24,26.0,13.899999618530273,0.0,1.0,40.0,0.5,-8.75,0.75,0.04311057925224304,0.02304757945239544,1.0,3.0,20.0,20.0,0.0,1.0,17.0,3.0
25,27.399999618530273,11.899999618530273,0.0,1.0,41.0,0.5,-9.0,0.75,-0.21839956939220428,-0.09485237300395966,1.0,3.0,20.0,20.0,0.0,1.0,16.0,3.0
26,28.799999237060547,-9.100000381469727,0.0,1.0,44.0,1.0,-8.25,0.75,0.0036578341387212276,-0.0011557741090655327,1.0,3.0,19.0,19.0,0.0,1.0,16.0,3.0
27,29.799999237060547,5.900000095367432,0.0,1.0,45.0,7.5,-8.75,1.0,-0.10902345180511475,-0.02158518135547638,1.0,3.0,19.0,19.0,0.0,1.0,16.0,3.0
28,28.600000381469727,10.5,0.0,1.0,46.0,3.5,-8.75,0.75,-0.04682951420545578,-0.017192654311656952,1.0,3.0,19.0,19.0,0.0,1.0,16.0,3.0
29,27.399999618530273,15.899999618530273,0.0,1.0,49.0,0.5,-9.0,0.75,-0.12340247631072998,-0.07160946726799011,1.0,3.0,19.0,19.0,0.0,1.0,17.0,3.0
30,24.399999618530273,21.299999237060547,0.0,1.0,51.0,7.0,-9.75,0.75,-0.41158750653266907,-0.3592956066131592,1.0,3.0,20.0,20.0,0.0,1.0,17.0,3.0
31,37.20000076293945,6.5,0.0,1.0,57.0,7.0,-8.75,1.0,-0.13021047413349152,-0.022751828655600548,1.0,3.0,19.0,19.0,0.0,1.0,16.0,3.0
32,35.20000076293945,-14.100000381469727,0.0,1.0,58.0,15.0,-8.75,0.0,-0.215770423412323,0.08643076568841934,1.0,3.0,19.0,19.0,0.0,1.0,16.0,3.0
33,34.599998474121094,-16.299999237060547,0.0,1.0,59.0,5.0,-8.25,1.0,-0.17538970708847046,0.08262578397989273,1.0,3.0,20.0,20.0,0.0,1.0,16.0,3.0
34,37.0,-11.300000190734863,0.0,1.0,61.0,11.0,-8.25,1.0,-0.05989200994372368,0.018291344866156578,1.0,3.0,19.0,19.0,0.0,1.0,16.0,3.0
35,38.599998474121094,-6.699999809265137,0.0,0.0,62.0,10.0,-3.0,0.0,5.316343307495117,-0.9227850437164307,1.0,3.0,19.0,19.0,0.0,1.0,16.0,3.0
36,38.79999923706055,-5.699999809265137,0.0,0.0,63.0,4.5,-3.5,0.0,4.86872673034668,-0.715251088142395,1.0,3.0,19.0,19.0,0.0,1.0,16.0,3.0
37,39.400001525878906,-6.5,0.0,0.0,64.0,5.5,-3.25,0.0,5.087184906005859,-0.8392563462257385,1.0,3.0,20.0,20.0,0.0,1.0,16.0,3.0
38,37.20000076293945,-14.5,0.0,1.0,66.0,18.0,-8.25,1.0,-0.12263984233140945,0.04780316352844238,1.0,3.0,19.0,19.0,0.0,1.0,16.0,3.0
39,40.400001525878906,4.699999809265137,0.0,1.0,67.0,23.0,-8.75,1.25,-0.15545202791690826,-0.01808476448059082,1.0,3.0,19.0,19.0,0.0,1.0,16.0,3.0
